#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.06262  1.03744  0.00267  1.01052  0.063803  0.015585  0.000000     4.094
   2.07065  1.04545  0.00321  1.00623  0.062522  0.015988  0.000000     3.911
   2.07958  1.05436  0.00382  1.00106  0.061111  0.016474  0.000000     3.709
   2.08952  1.06428  0.00450  0.99461  0.059563  0.017081  0.000000     3.487
   2.10059  1.07532  0.00527  0.98631  0.057888  0.017866  0.000000     3.240
   2.11291  1.08761  0.00615  0.97779  0.056019  0.018677  0.000000     2.999
   2.12662  1.10128  0.00716  0.97173  0.053877  0.019254  0.000000     2.798
   2.14188  1.11650  0.00831  0.96631  0.051569  0.019768  0.000000     2.609
   2.15887  1.13344  0.00963  0.96169  0.049119  0.020200  0.000000     2.432
   2.17778  1.15229  0.01115  0.95803  0.046563  0.020538  0.000000     2.267
   2.19883  1.17326  0.01290  0.95545  0.043949  0.020771  0.000000     2.116
   2.22226  1.19661  0.01492  0.95403  0.041329  0.020897  0.000000     1.978
   2.24834  1.22258  0.01725  0.95377  0.038764  0.020919  0.000000     1.853
   2.27737  1.25149  0.01994  0.95460  0.036309  0.020850  0.000000     1.741
   2.30968  1.28365  0.02305  0.95635  0.034010  0.020709  0.000000     1.642
   2.34565  1.31944  0.02665  0.95883  0.031901  0.020518  0.000000     1.555
   2.38569  1.35926  0.03081  0.96179  0.030001  0.020296  0.000000     1.478
   2.43025  1.40356  0.03561  0.96500  0.028314  0.020065  0.000000     1.411
   2.47985  1.45285  0.04116  0.96829  0.026832  0.019835  0.000000     1.353
   2.53507  1.50769  0.04757  0.97151  0.025540  0.019617  0.000000     1.302
   2.59652  1.56870  0.05496  0.97457  0.024420  0.019417  0.000000     1.258
   2.66493  1.63658  0.06347  0.97739  0.023452  0.019236  0.000000     1.219
   2.74108  1.71209  0.07327  0.97997  0.022618  0.019074  0.000000     1.186
   2.82583  1.79610  0.08454  0.98231  0.021902  0.018930  0.000000     1.157
   2.92018  1.88955  0.09747  0.98438  0.021293  0.018805  0.000000     1.132
   3.02519  1.99351  0.11231  0.98848  0.020614  0.018563  0.000000     1.110
