#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.49041  0.44105 -0.05091 -1.17300  0.001298  0.000891  0.004948     1.458
   1.50051  0.45114 -0.05034 -1.16844  0.001343  0.000921  0.004863     1.458
   1.51062  0.46123 -0.04975 -1.16360  0.001389  0.000952  0.004774     1.459
   1.52075  0.47134 -0.04914 -1.15882  0.001436  0.000984  0.004688     1.459
   1.53088  0.48145 -0.04852 -1.15436  0.001481  0.001015  0.004613     1.459
   1.54101  0.49156 -0.04789 -1.15083  0.001521  0.001043  0.004561     1.458
   1.55114  0.50167 -0.04724 -1.14676  0.001565  0.001074  0.004496     1.458
   1.56127  0.51178 -0.04657 -1.14169  0.001616  0.001107  0.004410     1.460
   1.57141  0.52190 -0.04590 -1.13941  0.001649  0.001132  0.004389     1.456
   1.58155  0.53201 -0.04520 -1.13410  0.001703  0.001168  0.004299     1.459
   1.59167  0.54211 -0.04450 -1.13115  0.001742  0.001195  0.004263     1.457
   1.60181  0.55222 -0.04378 -1.12750  0.001785  0.001226  0.004212     1.456
   1.61194  0.56233 -0.04304 -1.12311  0.001835  0.001259  0.004145     1.457
   1.62208  0.57244 -0.04229 -1.11936  0.001880  0.001291  0.004093     1.457
   1.63222  0.58255 -0.04153 -1.11565  0.001926  0.001322  0.004042     1.457
   1.64236  0.59266 -0.04076 -1.11255  0.001967  0.001351  0.004005     1.456
   1.65251  0.60278 -0.03997 -1.10869  0.002015  0.001384  0.003952     1.456
   1.66266  0.61290 -0.03916 -1.10401  0.002071  0.001421  0.003883     1.458
   1.67281  0.62302 -0.03835 -1.10078  0.002115  0.001452  0.003845     1.457
   1.68298  0.63315 -0.03753 -1.09758  0.002159  0.001482  0.003807     1.456
   1.69314  0.64328 -0.03669 -1.09348  0.002211  0.001518  0.003752     1.457
   1.70331  0.65341 -0.03584 -1.08970  0.002262  0.001552  0.003703     1.457
   1.71347  0.66354 -0.03498 -1.08599  0.002312  0.001586  0.003657     1.458
   1.72364  0.67367 -0.03411 -1.08204  0.002366  0.001622  0.003606     1.458
   1.73381  0.68380 -0.03324 -1.07916  0.002409  0.001653  0.003577     1.457
   1.74398  0.69393 -0.03235 -1.07511  0.002465  0.001690  0.003525     1.458
   1.75416  0.70407 -0.03145 -1.07150  0.002517  0.001726  0.003483     1.459
   1.76433  0.71420 -0.03054 -1.06744  0.002575  0.001764  0.003432     1.460
   1.77450  0.72433 -0.02963 -1.06434  0.002622  0.001797  0.003400     1.459
   1.78467  0.73446 -0.02870 -1.06025  0.002682  0.001837  0.003349     1.461
   1.79486  0.74460 -0.02776 -1.05620  0.002743  0.001876  0.003300     1.462
   1.80503  0.75473 -0.02682 -1.05275  0.002796  0.001913  0.003263     1.462
   1.81520  0.76486 -0.02587 -1.04922  0.002852  0.001950  0.003224     1.462
   1.82538  0.77499 -0.02490 -1.04464  0.002922  0.001995  0.003167     1.465
   1.83556  0.78512 -0.02393 -1.04097  0.002981  0.002034  0.003127     1.465
   1.84573  0.79525 -0.02295 -1.03694  0.003046  0.002076  0.003081     1.467
   1.85591  0.80538 -0.02196 -1.03259  0.003116  0.002121  0.003030     1.469
   1.86608  0.81550 -0.02097 -1.02893  0.003178  0.002162  0.002992     1.470
   1.87625  0.82562 -0.01996 -1.02443  0.003253  0.002210  0.002939     1.472
   1.88642  0.83574 -0.01894 -1.01970  0.003333  0.002260  0.002884     1.475
   1.89658  0.84585 -0.01792 -1.01557  0.003405  0.002306  0.002839     1.477
   1.90675  0.85596 -0.01688 -1.01035  0.003497  0.002362  0.002777     1.481
   1.91690  0.86606 -0.01584 -1.00591  0.003577  0.002412  0.002729     1.483
   1.92705  0.87615 -0.01478 -1.00036  0.003679  0.002473  0.002662     1.488
   1.93718  0.88623 -0.01371 -0.99465  0.003786  0.002536  0.002595     1.493
   1.94730  0.89629 -0.01264 -0.98933  0.003889  0.002597  0.002535     1.497
   1.95739  0.90632 -0.01155 -0.98301  0.004014  0.002669  0.002460     1.504
   1.96743  0.91630 -0.01045 -0.97612  0.004156  0.002749  0.002377     1.512
   1.97740  0.92621 -0.00934 -0.96897  0.004310  0.002833  0.002291     1.521
   1.98727  0.93602 -0.00822 -0.96098  0.004490  0.002929  0.002194     1.533
   1.99699  0.94567 -0.00708 -0.95163  0.004714  0.003044  0.002077     1.549
   2.00652  0.95513 -0.00592 -0.94067  0.004997  0.003183  0.001938     1.570
   2.01578  0.96431 -0.00475 -0.92841  0.005346  0.003346  0.001782     1.598
   2.02465  0.97311 -0.00357 -0.91393  0.005811  0.003551  0.001596     1.637
   2.03304  0.98142 -0.00244 -0.89908  0.006358  0.003778  0.001407     1.683
   2.04075  0.98906 -0.00140 -0.88454  0.006984  0.004020  0.001223     1.737
   2.05178  1.00000  0.00000 -0.85865  0.008432  0.004508  0.000893     1.870
   2.05178  1.00010  0.00000  0.85865  0.011935  0.006787  0.000000     1.758
   2.05934  1.00765  0.00024  0.88058  0.010131  0.006183  0.000000     1.639
   2.06749  1.01581  0.00035  0.89234  0.009310  0.005894  0.000000     1.580
   2.07630  1.02461  0.00041  0.90219  0.008691  0.005669  0.000000     1.533
   2.08580  1.03411  0.00043  0.91060  0.008200  0.005487  0.000000     1.495
